池号,记录日期,实测液位厘米,pH,表层盐花厚度毫米
A01,2026-06-01,145,6.2,1.2
A01,2026-06-02,143,6.1,1.5
A01,2026-06-03,142,6.0,1.8
A01,2026-06-04,140,5.9,2.0
A01,2026-06-05,138,5.8,2.3
A01,2026-06-06,136,5.7,2.5
A01,2026-06-07,135,5.6,2.8
A02,2026-06-01,148,6.3,1.0
A02,2026-06-02,146,6.2,1.2
A02,2026-06-03,144,6.1,1.4
A02,2026-06-04,142,6.0,1.6
A02,2026-06-05,140,5.9,1.9
A02,2026-06-06,138,5.8,2.1
A02,2026-06-07,136,5.7,2.4
A03,2026-06-01,146,6.4,1.1
A03,2026-06-02,144,6.3,1.3
A03,2026-06-03,142,6.2,1.5
A03,2026-06-04,140,6.1,1.7
A03,2026-06-05,138,6.0,2.0
A03,2026-06-06,136,5.9,2.2
A03,2026-06-07,134,5.8,2.5
A04,2026-06-01,147,6.1,0.9
A04,2026-06-02,145,6.0,1.1
A04,2026-06-03,143,5.9,1.3
A04,2026-06-04,141,5.8,1.5
A04,2026-06-05,139,5.7,1.8
A04,2026-06-06,137,5.6,2.0
A04,2026-06-07,135,5.5,2.3
A05,2026-06-01,149,6.5,1.3
A05,2026-06-02,147,6.4,1.4
A05,2026-06-03,145,6.3,1.6
A05,2026-06-04,143,6.2,1.8
A05,2026-06-05,141,6.1,2.1
A05,2026-06-06,139,6.0,2.3
A05,2026-06-07,137,5.9,2.6
B01,2026-06-01,175,6.0,1.5
B01,2026-06-02,172,5.9,1.8
B01,2026-06-03,170,5.8,2.0
B01,2026-06-04,168,5.7,2.3
B01,2026-06-05,165,5.6,2.6
B01,2026-06-06,163,5.5,2.9
B01,2026-06-07,160,5.4,3.1
B02,2026-06-01,178,6.2,1.2
B02,2026-06-02,175,6.1,1.5
B02,2026-06-03,172,6.0,1.7
B02,2026-06-04,170,5.9,2.0
B02,2026-06-05,167,5.8,2.2
B02,2026-06-06,165,5.7,2.5
B02,2026-06-07,162,5.6,2.8
B03,2026-06-01,176,5.9,1.6
B03,2026-06-02,173,5.8,1.9
B03,2026-06-03,171,5.7,2.1
B03,2026-06-04,168,5.6,2.4
B03,2026-06-05,166,5.5,2.7
B03,2026-06-06,163,5.4,3.0
B03,2026-06-07,161,5.3,3.2
B04,2026-06-01,177,6.1,1.3
B04,2026-06-02,174,6.0,1.6
B04,2026-06-03,171,5.9,1.8
B04,2026-06-04,169,5.8,2.1
B04,2026-06-05,166,5.7,2.4
B04,2026-06-06,164,5.6,2.6
B04,2026-06-07,161,5.5,2.9
C01,2026-06-01,115,6.5,0.8
C01,2026-06-02,113,6.4,1.0
C01,2026-06-03,111,6.3,1.2
C01,2026-06-04,109,6.2,1.4
C01,2026-06-05,107,6.1,1.6
C01,2026-06-06,105,6.0,1.9
C01,2026-06-07,103,5.9,2.1
C02,2026-06-01,118,6.6,0.7
C02,2026-06-02,116,6.5,0.9
C02,2026-06-03,114,6.4,1.1
C02,2026-06-04,112,6.3,1.3
C02,2026-06-05,110,6.2,1.5
C02,2026-06-06,108,6.1,1.8
C02,2026-06-07,106,6.0,2.0
C03,2026-06-01,116,6.3,0.9
C03,2026-06-02,114,6.2,1.1
C03,2026-06-03,112,6.1,1.3
C03,2026-06-04,110,6.0,1.5
C03,2026-06-05,108,5.9,1.7
C03,2026-06-06,106,5.8,2.0
C03,2026-06-07,104,5.7,2.2
C04,2026-06-01,117,6.4,0.8
C04,2026-06-02,115,6.3,1.0
C04,2026-06-03,113,6.2,1.2
C04,2026-06-04,111,6.1,1.4
C04,2026-06-05,109,6.0,1.6
C04,2026-06-06,107,5.9,1.9
C04,2026-06-07,105,5.8,2.1
C05,2026-06-01,119,6.7,0.6
C05,2026-06-02,117,6.6,0.8
C05,2026-06-03,115,6.5,1.0
C05,2026-06-04,113,6.4,1.2
C05,2026-06-05,111,6.3,1.4
C05,2026-06-06,109,6.2,1.7
C05,2026-06-07,107,6.1,1.9
C06,2026-06-01,114,6.2,1.0
C06,2026-06-02,112,6.1,1.2
C06,2026-06-03,110,6.0,1.4
C06,2026-06-04,108,5.9,1.6
C06,2026-06-05,106,5.8,1.8
C06,2026-06-06,104,5.7,2.1
C06,2026-06-07,102,5.6,2.3
D01,2026-06-01,195,5.8,2.0
D01,2026-06-02,192,5.7,2.3
D01,2026-06-03,189,5.6,2.5
D01,2026-06-04,186,5.5,2.8
D01,2026-06-05,183,5.4,3.1
D01,2026-06-06,180,5.3,3.4
D01,2026-06-07,177,5.2,3.6
D02,2026-06-01,198,6.0,1.8
D02,2026-06-02,195,5.9,2.1
D02,2026-06-03,192,5.8,2.3
D02,2026-06-04,189,5.7,2.6
D02,2026-06-05,186,5.6,2.9
D02,2026-06-06,183,5.5,3.2
D02,2026-06-07,180,5.4,3.4
D03,2026-06-01,196,5.9,1.9
D03,2026-06-02,193,5.8,2.2
D03,2026-06-03,190,5.7,2.4
D03,2026-06-04,187,5.6,2.7
D03,2026-06-05,184,5.5,3.0
D03,2026-06-06,181,5.4,3.3
D03,2026-06-07,178,5.3,3.5
